X,Y,Z,Type
Timestamp: ,1908227962134198,Normal
0.14016533,1.3518996,0.047547936,Normal
-2.6399627,2.3793778,-5.4533424,Normal
1.0732121,1.8786182,0.87818575,Normal
-5.3965464,0.10975933,-3.519681,Normal
-0.46142197,-0.37291908,-2.7210157,Normal
-0.09975624,0.70020103,-1.6081115,Normal
-0.6876836,1.4245028,-1.4302881,Normal
-1.6082535,4.018406,-0.56195533,Normal
-0.58226013,2.1130192,2.4394002,Normal
-0.14691353,-0.8417628,-0.97419417,Normal
-0.19319248,-0.44271326,-1.0563471,Normal
-1.3469505,-2.3340797,-0.962061,Normal
0.719316,5.139737,1.4492165,Normal
0.47256136,1.9386907,-0.15209007,Normal
-0.14526176,1.3536191,-0.03331256,Normal
0.26300526,-0.25151682,0.8465036,Normal
-0.37498188,-0.017138481,0.4491049,Normal
-0.07859993,2.546574,1.167391,Normal
-2.1519918,-0.8080678,1.5311964,Normal
-0.29389858,0.5680876,0.42051727,Normal
-0.26219273,0.47034073,-0.121198356,Normal
0.4514947,0.43201876,0.46295714,Normal
0.42238998,0.38322115,0.31350827,Normal
-0.17924309,0.25091648,0.042031527,Normal
1.2397766E-5,0.29591608,0.07772863,Normal
0.061710358,0.15050125,0.26450062,Normal
0.030817032,0.07942438,-0.37360144,Normal
-0.03384304,-0.09593487,0.12202275,Normal
0.22215462,0.032698154,-0.16782486,Normal
0.14790058,0.6245723,-0.22339642,Normal
0.17692757,0.104243755,-0.29341304,Normal
-0.16974449,0.11152077,0.30037427,Normal
0.07584667,0.16833591,0.14853597,Normal
-0.15681171,0.09001255,0.029387236,Normal
0.19994164,0.10623312,-0.21960938,Normal
-0.05189991,0.111068726,0.19328761,Normal
-0.04377365,-0.18675518,0.047399998,Normal
-0.04940033,-0.063941956,-0.093459964,Normal
-0.054870605,0.066730976,0.1317612,Normal
0.10949612,0.093770504,0.008941412,Normal
-0.2864008,-0.11591673,0.12702465,Normal
0.1670742,-0.09172964,-0.07742953,Normal
-0.012919426,0.16762066,-0.096491456,Normal
-0.025256157,0.38078785,0.2434715,Normal
1.0406866,-0.6820245,0.726754,Normal
-0.8871374,0.7866745,0.2383108,Normal
0.08543205,-0.58121014,-1.1404804,Normal
0.051478386,-0.3355093,-1.1578287,Normal
-0.30851364,-0.28745317,-0.18581891,Normal
0.046865463,-0.4137597,-0.27406633,Normal
-0.009933472,0.26732588,0.007722616,Normal
-0.15806007,-0.6340637,-0.17695868,Normal
-0.2868576,0.23788118,0.33791828,Normal
-0.066215515,-0.6286149,0.008304477,Normal
0.12583065,-0.3218069,-0.2518909,Normal
-0.15814304,-0.1678567,0.23177516,Normal
-0.078095436,-0.013150692,0.11738044,Normal
0.18000937,0.19172716,-0.033945918,Normal
-0.06635618,-0.16525984,0.10493505,Normal
-0.07452297,0.3053851,0.2104479,Normal
0.3917551,0.10581684,0.19230354,Normal
-0.18000126,-0.14870214,-0.13027143,Normal
0.05752945,0.15004158,0.03730333,Normal
0.04997301,-0.027985096,-0.34063393,Normal
0.024067402,-0.070148945,-7.485151E-4,Normal
-0.28477192,0.040113926,-0.1578685,Normal
0.12456989,-0.12536669,1.0368656,Normal
0.039333344,-0.12136841,0.020465255,Normal
-0.062306404,-0.11391449,-0.11616075,Normal
-0.056671143,-0.42092228,0.29036582,Normal
-0.0017614365,0.12975073,0.20242429,Normal
0.14945507,-0.020020008,-0.024173379,Normal
0.04958725,-0.08155203,0.1443243,Normal
-0.21576118,-0.03125429,0.3220917,Normal
0.026189804,-0.09791422,-0.32365406,Normal
-0.015512466,0.11155081,0.23372853,Normal
-0.020415306,-0.13087416,0.0064582825,Normal
-0.06950474,0.048475266,-0.17486656,Normal
-0.05315399,0.071992874,-0.011888146,Normal
-0.047854424,-0.05298376,0.04481864,Normal
0.074018,0.019455433,0.105954885,Normal
-0.068636894,-0.14406252,0.21849883,Normal
-0.1642847,0.061140537,-0.08853674,Normal
0.2958417,0.07836485,0.1392827,Normal
-0.038585186,-0.15929794,-0.63061666,Normal
-0.06960869,0.09801912,0.13209212,Normal
-0.0415473,-0.040547848,-0.025959134,Normal
-0.0085392,0.21630621,0.29033577,Normal
-0.016168594,-0.08516264,-0.12385833,Normal
7.419586E-4,0.45903778,0.47636968,Normal
0.32733297,0.081796646,-0.55842054,Normal
-0.1724186,-0.15093851,0.10232258,Normal
0.032370567,0.0062685013,-0.3766374,Normal
-0.13461637,-0.14676666,0.063263774,Normal
0.03783083,0.052416325,-0.10115546,Normal
0.19231892,0.3058796,0.37578106,Normal
-0.1165185,-0.5523715,-1.111097,Normal
-0.5523343,-0.23517847,-0.08511126,Normal
0.004024029,0.018336773,-0.3329718,Normal
0.06902933,0.070485115,0.27053952,Normal
0.10200405,-0.28777456,-0.2367909,Normal
-0.2994547,0.027808666,-0.2330252,Normal
0.30174303,-0.027844906,-0.12130129,Normal
-0.26284122,0.08031988,0.4867251,Normal
0.3852129,0.1348157,0.47099745,Normal
-0.11785793,-0.6475096,1.277272,Normal
-0.21997356,-0.5963688,2.3169584,Normal
-0.7906995,-1.8859069,1.6246314,Normal
-2.1854763,2.068554,-0.48121434,Normal
0.9747305,0.70112133,-0.85727215,Normal
-0.13132763,0.6584711,1.7148527,Normal
-2.461442,-0.824584,-3.4574814,Normal
-0.3961153,-2.0533164,0.08158023,Normal
-1.6911187,-0.5042381,-1.4367671,Normal
-1.388299,2.7677011,-2.9690967,Normal
0.27894783,1.489922,0.8720416,Normal
-0.018060684,-0.45253754,-0.53559136,Normal
-0.97776127,-0.40785503,-1.2193242,Normal
