X,Y,Z,Type
Timestamp: ,1815278595519655,Fast
0.9690616,-2.627674,-2.3791866,Fast
-0.10229635,-1.4963088,-0.5845823,Fast
-0.48180842,-0.9471774,-0.32792425,Fast
-0.7178502,-0.98914623,-0.49837732,Fast
-1.2126188,-1.3386545,0.56065464,Fast
-0.72040033,-1.2848806,0.4673357,Fast
1.4488351,1.1781733,-0.5200281,Fast
1.3743262,0.38892698,-0.64706516,Fast
-0.7974396,-1.6539545,0.5884218,Fast
-0.5706763,0.8569758,-0.22356415,Fast
-1.8711174,-0.33280277,0.4410591,Fast
-1.4178813,-1.9135332,-1.347228,Fast
3.2319605,-0.8647928,-0.5928769,Fast
2.1350856,-1.9280345,2.7232008,Fast
0.90123034,-3.520032,3.2909303,Fast
1.4547081,-2.6803014,0.92445993,Fast
0.799273,-2.374101,-1.2137518,Fast
0.638247,-0.98078024,-0.14567423,Fast
0.37851906,0.14678454,-0.6912265,Fast
0.23746347,0.88826466,-0.41948938,Fast
-1.0467129,-1.1969606,0.449749,Fast
-2.1980247,-2.7025912,2.938043,Fast
1.1331563,0.037788868,-1.1886377,Fast
1.0039463,1.2322392,-1.8347609,Fast
-1.0610852,1.0261645,-0.9487462,Fast
-1.8407845,-1.135114,-0.5025048,Fast
0.09464884,2.4426284,-2.035831,Fast
-0.06162405,1.6651564,-3.9758878,Fast
-1.0343103,0.82938313,1.222743,Fast
-0.5131173,-0.8093431,1.2051077,Fast
-0.44350052,-0.6259055,0.7664895,Fast
-0.035163403,0.70335054,-0.14157104,Fast
-0.20232534,0.12567091,-0.13599348,Fast
-0.46852875,1.2298499,-0.5285721,Fast
-1.0745251,-0.27326906,-0.028618813,Fast
-0.7823932,0.29305196,-0.23151016,Fast
-0.061367035,0.0012564659,0.7553253,Fast
-0.81625915,-0.12564301,0.44047356,Fast
0.6678724,-0.7675462,1.1093807,Fast
-1.4389706,-2.1145644,1.0210023,Fast
-0.6584506,-1.1187658,1.6561952,Fast
0.0034906864,-1.2768455,0.104842186,Fast
0.75027835,-0.0097875595,-1.9625697,Fast
2.8542302,1.477314,-2.1956115,Fast
-2.385349,0.5209155,0.218256,Fast
-0.47448778,-0.38442802,1.7390385,Fast
0.86373734,-3.0926666,2.3773932,Fast
-0.060086727,3.4105444,-1.6256537,Fast
2.3826923,0.56833506,-1.0865679,Fast
-0.34614468,-0.508502,1.3303719,Fast
-0.59693027,-0.9818497,1.6801863,Fast
-0.0991528,0.22163582,-0.35620832,Fast
0.06345427,0.75145483,-2.2519526,Fast
1.6463468,1.3863106,-0.6648884,Fast
1.1588932,1.0999722,-0.30307674,Fast
-0.5373061,4.264013,-0.15992069,Fast
-2.6078193,5.8104954,1.0083427,Fast
0.27656484,2.3766966,0.78980255,Fast
1.2094042,2.060336,0.4511652,Fast
-0.2868209,-0.9171324,0.85379934,Fast
1.2284944,-1.488688,0.8860717,Fast
-0.20191908,-2.2627797,0.06702757,Fast
1.9495726,-3.280436,-2.7289066,Fast
-2.7243729,-1.0143175,-1.4012365,Fast
1.1847992,-2.115599,-1.2733464,Fast
-2.442998,-1.519873,-0.40748215,Fast
1.6065695,0.39128804,-1.2793422,Fast
-1.7733066,0.65779537,0.06704426,Fast
-1.1456337,1.713511,0.30595398,Fast
-0.041873932,-1.1178726,0.8516407,Fast
0.3459835,-1.7488074,-0.61550426,Fast
0.04651022,-0.57124186,-0.67580605,Fast
0.06760764,1.5268886,1.5992508,Fast
-0.77176905,-1.8022451,-0.83697176,Fast
-0.61038685,0.28123474,1.2840776,Fast
-0.5198517,-1.652122,1.6908569,Fast
-1.4346218,-3.1031208,-0.20775223,Fast
-0.12213063,-2.2437148,-0.11589241,Fast
-0.7601738,-1.5505972,0.12047577,Fast
-2.0917912,-2.0271738,0.94766235,Fast
4.1009364,1.3169966,-3.4086328,Fast
-0.772027,0.45189714,1.0982018,Fast
-1.05023,-0.8396654,1.4882622,Fast
0.3060131,0.6548066,-0.75962543,Fast
-1.8470697,0.055033207,-0.15576649,Fast
0.22211885,-0.5606899,-1.8971052,Fast
-0.0991807,1.0624886,-0.42705345,Fast
-1.7865655,0.43962765,-0.51227427,Fast
-0.30200458,0.6959009,-0.5002332,Fast
-0.17092228,0.0659461,0.08830595,Fast
-0.26491022,0.110602856,1.3774271,Fast
-0.005882263,-1.5322022,2.1876373,Fast
-0.52650845,-0.6625776,1.2308464,Fast
0.43695512,-0.12888336,1.0757382,Fast
1.0164181,-0.8545499,0.36039662,Fast
0.54197776,0.9219465,-1.5073326,Fast
1.0525151,1.4467521,-1.6654027,Fast
0.43911147,0.8591285,-0.24777365,Fast
0.444638,0.73108816,-0.06377649,Fast
0.7409744,0.59298515,-0.3602147,Fast
1.7643499,-0.30937576,-1.4466224,Fast
2.800737,2.6722322,1.339088,Fast
0.02305007,-3.7265434,-2.1296163,Fast
-0.17496556,-6.638831,-2.233491,Fast
4.946991,-4.56631,-6.734294,Fast
-6.3839645,14.564451,6.740618,Fast
-1.9252086,2.2936735,6.300275,Fast
-3.3944411,-3.9711585,1.6695604,Fast
1.022286,-2.2393823,0.20064497,Fast
-2.295097,0.7018242,3.9446676,Fast
-0.053177953,-1.738378,1.6618924,Fast
-0.8148812,-0.37060165,2.8983805,Fast
3.307664,1.4983578,-1.269262,Fast
2.3770773,-0.3424058,-3.852344,Fast
-0.15098095,3.1286058,-1.9777765,Fast
0.0018413067,-0.48431873,0.2927723,Fast
-1.681895,-2.0020847,2.101772,Fast
0.23445606,3.2440414,0.71298575,Fast
-0.53794646,-0.78117657,-0.2562108,Fast
-0.36275882,0.31935883,1.5725908,Fast
-0.57891524,-0.8481741,2.1234498,Fast
2.476424,1.2043133,-2.019484,Fast
2.1817634,0.6388502,-3.6302357,Fast
-0.69882154,2.2885385,-2.4884088,Fast
-0.8687608,-0.42013884,0.49540138,Fast
-2.1305377,-0.50391865,1.66745,Fast
1.3883226,0.82992935,-0.11842823,Fast
-0.9876134,0.14106274,0.3014536,Fast
0.80624545,-0.06374836,0.09630823,Fast
0.17400724,0.26143932,1.3870164,Fast
1.0164015,0.080937386,0.9718894,Fast
1.4482577,0.15053463,-0.26205504,Fast
1.6136798,0.6400614,-2.013291,Fast
-0.43293595,0.92727757,-2.6348884,Fast
-0.25063825,0.92557335,-2.09602,Fast
-1.2537653,0.056346893,-0.67283964,Fast
-1.20561,-1.0477772,1.1147623,Fast
-0.21814513,1.0634842,0.442734,Fast
-0.58719635,-0.10675335,-0.8203738,Fast
1.0026139,0.7311907,-1.1758709,Fast
0.16818643,0.45009136,0.8326733,Fast
-0.25228572,0.23869991,-0.6019416,Fast
0.14662457,1.0265975,-0.90472245,Fast
-0.601037,-0.107982635,0.51803493,Fast
-0.6403682,-0.55397224,0.55815125,Fast
-2.273467,-1.2450218,0.6291671,Fast
-1.9575016,-0.08934879,-0.6937165,Fast
0.7607414,-0.055583954,0.44252586,Fast
-0.03506875,0.27636147,0.26020527,Fast
-0.45988756,0.064949036,0.78808975,Fast
0.42613792,-0.025274277,-0.124831915,Fast
0.4181087,0.099513054,0.06573057,Fast
0.042321444,0.22627163,-0.76421237,Fast
0.4001433,0.13495159,-0.8365197,Fast
1.5548906,1.3992338,-1.6050057,Fast
2.8785186,5.590229,-2.3666573,Fast
-1.4871112,4.1031127,-3.3375964,Fast
-3.049331,0.23105621,0.10266018,Fast
-0.27023333,0.47931194,2.9010668,Fast
1.389177,-3.9582543,3.4279814,Fast
2.0869803,-3.3127012,1.0776119,Fast
1.5118337,-2.7352908,-0.675272,Fast
