X,Y,Z,Type
Timestamp: ,1815773055364864,Slow
-0.10601246,0.6176071,-0.10102558,Slow
-0.3713838,0.11945343,-0.038348198,Slow
-0.11867678,0.2528267,-0.0565567,Slow
0.016165733,0.03720379,0.0050098896,Slow
-0.16155195,0.032432556,0.1878233,Slow
-0.1391356,0.13301563,-0.05956459,Slow
-0.09101081,-0.029364586,0.16949677,Slow
-0.17162848,0.034665108,0.31741357,Slow
0.17575908,-0.32209873,-0.17327309,Slow
-0.39506638,0.22521782,-0.349221,Slow
-0.36417615,0.022515297,-0.2888819,Slow
0.08496106,-0.7418852,0.4767995,Slow
0.09995508,0.113497734,0.64257765,Slow
0.84222007,0.308671,0.07784057,Slow
0.6390281,0.14024544,-1.2088203,Slow
-0.5965531,0.2937088,-0.88782024,Slow
-1.7080929,-1.2532907,-0.66204333,Slow
-3.8389926,-1.276907,0.7474952,Slow
-0.6799785,1.7577105,-0.21749067,Slow
-0.30354267,-0.9471035,0.44092298,Slow
-1.2396425,0.019719124,1.6077359,Slow
2.0777225,-0.6705389,-1.1708739,Slow
2.0652304,2.7321024,-3.9434538,Slow
-0.5782298,0.68038464,-1.6078305,Slow
-1.5594609,-0.6183834,0.3468833,Slow
-0.46712178,-0.038635254,-1.459578,Slow
-1.6049333,1.61057,-1.065825,Slow
-0.55676395,0.72688866,-0.74456215,Slow
-0.7466078,0.58351946,-0.48295212,Slow
0.3273074,-0.3853898,0.466259,Slow
-0.459733,-0.14410257,1.1613445,Slow
0.7024219,0.7875948,-1.1151934,Slow
3.9363642,3.6290753,-2.491499,Slow
0.6832876,4.8561234,0.4180298,Slow
-2.0345201,-1.479467,1.3043394,Slow
0.81941605,-2.9151795,3.9107037,Slow
-2.5025349,-2.7324586,-2.598504,Slow
1.7852982,0.812572,-1.199563,Slow
-0.2907176,3.2311854,0.2683134,Slow
-1.7488735,2.4596717,0.755496,Slow
0.96345425,-0.53933454,0.026447296,Slow
1.2265601,-2.6587834,0.33661652,Slow
1.3779433,-0.6026156,1.17098,Slow
1.73051,-0.25128543,0.8777962,Slow
-0.13810396,-0.5464606,-0.0989151,Slow
-0.7095046,2.4279118,-3.0381136,Slow
-1.590497,0.012033939,-0.47374773,Slow
-0.6594126,-3.0728903,1.463727,Slow
-1.597872,-3.312438,1.4106274,Slow
-2.4985104,-4.8998446,2.0751724,Slow
1.1949449,-3.5063794,0.5349755,Slow
0.389807,-2.020857,-3.308807,Slow
-0.61089516,0.49670076,0.33580112,Slow
-1.4252508,-0.54558873,1.0756369,Slow
-0.37566215,-0.1308341,-0.19504642,Slow
-0.081308365,0.30494404,-1.5041866,Slow
-0.65732867,1.5786767,0.45418262,Slow
2.2176237,2.1392612,-1.8683252,Slow
-1.4869503,5.852547,1.4905405,Slow
1.0610104,0.03580171,-1.3585176,Slow
-0.574986,-2.79109,0.8077955,Slow
1.564421,-2.606683,7.178067,Slow
2.8761055,-3.6220536,5.979622,Slow
2.713929,-5.2817163,-1.7289643,Slow
0.9264977,-2.0332453,-3.0895782,Slow
-0.048397064,1.2700019,-2.2990417,Slow
-1.5542789,0.09336805,-0.18067598,Slow
-0.31637144,-0.084308624,1.0421524,Slow
0.9213958,0.63869953,0.46038198,Slow
-3.5564048,-0.9032526,-0.2673397,Slow
-1.5930493,-0.76861,-0.92650604,Slow
0.133672,0.89801073,0.061140537,Slow
1.5957379,0.6141882,-0.5915327,Slow
-0.34765673,1.4953699,0.1382513,Slow
1.2072544,2.7858553,-0.15433168,Slow
1.0867896,0.75668526,-0.13727236,Slow
0.6707454,1.1986461,-1.8314493,Slow
0.6841674,0.5004883,1.6539228,Slow
-5.2512655,-2.2260294,0.79527235,Slow
0.83763885,-4.367866,-1.1611139,Slow
3.7165246,-7.9242654,-2.7085943,Slow
2.6192153,-5.0682755,-4.2079926,Slow
-4.7120667,11.160524,2.434856,Slow
-3.073866,1.1072454,6.96317,Slow
-2.0212135,0.0521307,3.5035887,Slow
1.0044739,-1.200633,-1.0940824,Slow
2.1808515,-2.9766307,0.6831608,Slow
-0.63983846,1.649004,3.3152125,Slow
-0.22360194,-0.047549248,0.32026196,Slow
-0.24958469,-0.11324978,1.4419005,Slow
0.61264575,-0.58198166,1.563729,Slow
2.2573829,1.1843996,-0.8055167,Slow
3.2999322,2.2172585,-4.6983953,Slow
-0.9659524,1.61695,-2.093359,Slow
-0.53526425,-0.6464505,0.015113354,Slow
-2.9432888,-0.205791,1.6664109,Slow
-0.4381953,2.483179,-0.72176456,Slow
0.8720642,-0.7191887,0.22353864,Slow
-0.28516552,0.13782978,1.5777338,Slow
1.806108,-0.033821106,-0.67875934,Slow
1.6002172,3.4534993,-4.98213,Slow
-2.411986,3.53441,-2.9104357,Slow
-2.3087375,-1.1412115,-0.34644318,Slow
-0.40962315,1.9369988,-2.0216713,Slow
-0.1742506,0.17601156,0.64408255,Slow
-0.21038723,0.65407276,-0.19806767,Slow
0.6070113,2.606258,-2.2014284,Slow
1.0628681,2.324038,0.1098814,Slow
-1.5061314,2.9679823,1.8826799,Slow
-0.10957408,2.3436117,1.7271805,Slow
-1.435271,1.3456235,2.069283,Slow
0.41879082,-0.557539,0.51806784,Slow
0.6097684,-0.20922041,1.131999,Slow
-0.24059296,0.23868942,0.5863919,Slow
0.61288524,-1.8606968,-1.9305851,Slow
0.9690616,-2.627674,-2.3791866,Slow
-0.10229635,-1.4963088,-0.5845823,Slow
-0.48180842,-0.9471774,-0.32792425,Slow
-0.7178502,-0.98914623,-0.49837732,Slow
-1.2126188,-1.3386545,0.56065464,Slow
-0.72040033,-1.2848806,0.4673357,Slow
1.4488351,1.1781733,-0.5200281,Slow
1.3743262,0.38892698,-0.64706516,Slow
-0.7974396,-1.6539545,0.5884218,Slow
-0.5706763,0.8569758,-0.22356415,Slow
-1.8711174,-0.33280277,0.4410591,Slow
-1.4178813,-1.9135332,-1.347228,Slow
3.2319605,-0.8647928,-0.5928769,Slow
2.1350856,-1.9280345,2.7232008,Slow
0.90123034,-3.520032,3.2909303,Slow
1.4547081,-2.6803014,0.92445993,Slow
0.799273,-2.374101,-1.2137518,Slow
0.638247,-0.98078024,-0.14567423,Slow
0.37851906,0.14678454,-0.6912265,Slow
0.23746347,0.88826466,-0.41948938,Slow
-1.0467129,-1.1969606,0.449749,Slow
-2.1980247,-2.7025912,2.938043,Slow
1.1331563,0.037788868,-1.1886377,Slow
1.0039463,1.2322392,-1.8347609,Slow
-1.0610852,1.0261645,-0.9487462,Slow
-1.8407845,-1.135114,-0.5025048,Slow
0.09464884,2.4426284,-2.035831,Slow
-0.06162405,1.6651564,-3.9758878,Slow
-1.0343103,0.82938313,1.222743,Slow
-0.5131173,-0.8093431,1.2051077,Slow
-0.44350052,-0.6259055,0.7664895,Slow
-0.035163403,0.70335054,-0.14157104,Slow
-0.20232534,0.12567091,-0.13599348,Slow
-0.46852875,1.2298499,-0.5285721,Slow
-1.0745251,-0.27326906,-0.028618813,Slow
-0.7823932,0.29305196,-0.23151016,Slow
-0.061367035,0.0012564659,0.7553253,Slow
-0.81625915,-0.12564301,0.44047356,Slow
0.6678724,-0.7675462,1.1093807,Slow
-1.4389706,-2.1145644,1.0210023,Slow
